"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"WPR25FA062","ACC","199430","2024-12-16T11:30:00Z","Potrero","California","United States","","N617GC","FALSE","DirectorBrief","","Fatal","1","0","0","","","32.65218","-116.6242","AMERICAN EUROCOPTER LLC","AS350B3","HELI","","","FALSE","1","","PUBF","PUBU","Substantial","VMC","Department of Homeland Security","In work","FALSE","","",
"GAA25WA031","ACC","195546","2024-11-22T12:45:00Z","Broken Hill","","Australia","","N368EV","FALSE","None","","Fatal","1","1","0","","","0","0","AEROSPATIALE","AS332L","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"CEN25FA034","ACC","195427","2024-11-01T21:06:00Z","Iowa","Louisiana","United States","","N62CD","FALSE","DirectorBrief","","Fatal","3","0","0","","","30.373361","-93.067008","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","SAVANT AVIATION LLC","In work","FALSE","","",
"CEN25FA019","ACC","195349","2024-10-20T19:51:00Z","Houston","Texas","United States","","N881KE","FALSE","DirectorBrief","","Fatal","4","0","0","","","29.757248","-95.338352","ROBINSON","R44","HELI","","","FALSE","1","","BUS","091","Destroyed","VMC","National Helicopter Solutions, LLC","In work","FALSE","","",
"ERA25FA005","ACC","195271","2024-10-07T17:35:00Z","Owenton","Kentucky","United States","","N230AE","FALSE","DirectorBrief","","Fatal","3","0","0","","","38.5241","-84.81245","BELL","206L-3","HELI","pvt","","FALSE","1","NSCH","BUS","135","Destroyed","VMC","","In work","FALSE","","",
"GAA24WA302","ACC","195249","2024-09-29T07:50:00Z","València","","Spain","","EC-EXE","FALSE","None","","Fatal","3","0","0","","","0","0","BELL","206","HELI","","","FALSE","","","AOBV","NUSN","Destroyed","","","N/A","FALSE","","",
"ANC24FA089","ACC","195072","2024-09-07T09:24:00Z","King Salmon","Alaska","United States","","N306FW","FALSE","DirectorBrief","","Fatal","1","0","4","","","58.658754","-156.6469","BELL","206B","HELI","","","FALSE","1","NSCH","","135","Substantial","IMC","EGLI AIR HAUL INC","In work","FALSE","","",
"CEN24FA325","ACC","194990","2024-08-23T13:30:00Z","Newton","Texas","United States","","N199BD","FALSE","DirectorBrief","","Fatal","1","0","1","","","30.881341","-93.706493","ARROW FALCON EXPORTERS INC","OH-58A+","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","Callaway land Management LLC","In work","FALSE","","",
"GAA24WA253","ACC","194894","2024-08-12T04:00:00Z","Cairns","","Australia","","VH-ERH","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R-44","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA24WA247","ACC","194872","2024-08-07T08:09:00Z","Unknown","","Nepal","","9N-AJD","FALSE","None","","Fatal","5","0","0","","","0","0","AIRBUS HELICOPTERS","AS350","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA24WA239","ACC","194830","2024-07-31T22:30:00Z","Escuintia","","Guatemala","","TG-MIC","FALSE","None","","Fatal","2","0","0","","","0","0","BELL","206","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"CEN24FA287","ACC","194796","2024-07-29T13:30:00Z","Nashua","Iowa","United States","","N94XA","FALSE","DirectorBrief","","Fatal","1","0","0","","","42.961671","-92.49061","BELL","206","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","Xtreme Aviation LLC","In work","FALSE","","",
"ERA24FA326","ACC","194779","2024-07-27T12:42:00Z","West Carthage","New York","United States","","N61486","FALSE","DirectorBrief","","Fatal","1","0","0","","","43.967133","-75.62105","SCHWEIZER","269C","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","In work","FALSE","","",
"GAA24WA227","ACC","194773","2024-07-25T06:10:00Z","Curtin","","Australia","","VH-HQH, VH-HYQ","FALSE","None","","Fatal","2","0","0","","","-18.035154","123.928859","ROBINSON, ROBINSON","R22, R22","HELI,HELI","","","FALSE,FALSE",",","",",","UNK,UNK","Substantial,Substantial","",",","N/A","FALSE","","",
"ANC24FA063","ACC","194676","2024-07-11T13:05:00Z","Kekaha","Hawaii","United States","","N144KW","FALSE","DirectorBrief","","Fatal","3","0","0","","","22.183594","-159.64597","ROBINSON HELICOPTER","R44","HELI","","","FALSE","1","NSCH","BUS","091","Substantial","VMC","Ali’i Air Tours","In work","FALSE","","",
"CEN24FA248","ACC","194615","2024-07-05T08:01:00Z","Andale","Kansas","United States","","N51017","FALSE","DirectorBrief","","Fatal","1","0","0","","","37.78511","-97.638388","FABER VINCENT L","SCORPION 133","HELI","","","TRUE","1","","PERS","091","Destroyed","VMC","","In work","FALSE","","",
"GAA24WA220","ACC","194745","2024-06-29T13:00:00Z","Brasil Novo","","Brazil","","PY-YVD","FALSE","None","","Fatal","1","0","0","","","-3","-52","ROBINSON","R22","HELI","","","FALSE","1","","PERS","NUSN","Destroyed","","","N/A","FALSE","","",
"WPR24FA200","ACC","194501","2024-06-19T16:20:00Z","Bluestem","Washington","United States","","N323TT","FALSE","DirectorBrief","","Fatal","2","0","0","","","47.546733","-118.15535","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","In work","FALSE","","",
"CEN24FA167","ACC","194169","2024-04-29T15:13:00Z","Spring Branch","Texas","United States","","N829SH","FALSE","DirectorBrief","","Fatal","2","0","0","","","29.828998","-98.446451","Vertical Aviation Technologies","Hummingbird","HELI","","","TRUE","1","","ADRP","091","Destroyed","VMC","","In work","FALSE","","",
"WPR24FA132","ACC","194154","2024-04-26T06:59:00Z","Anaconda","Montana","United States","","N988B","FALSE","DirectorBrief","","Fatal","1","0","0","","","46.116655","-112.9266","BELL","206-L4","HELI","","","FALSE","1","","AAPL","137","Destroyed","","HELI WORKS FLIGHT SERVICES LLC","In work","FALSE","","",
"GAA24WA145","ACC","194111","2024-04-14T17:30:00Z","Meico City","","Mexico","","XP-PIP","FALSE","None","","Fatal","3","0","0","","","0","0","BELL","206","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA24WA101","ACC","193856","2024-02-19T19:48:00Z","Goianesia Do Para","","Brazil","","PR-BLZ","FALSE","None","","Fatal","3","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"CEN24MA111","ACC","193770","2024-02-09T23:08:00Z","Halloran Springs","California","United States","","N130CZ","FALSE","DirectorBrief","2025-05-06T04:00:00Z","Fatal","6","0","0","The pilot’s decision to continue the visual flight rules flight into instrument meteorological conditions, which resulted in the pilot’s spatial disorientation and loss of control. Contributing to the accident was the company’s inadequate oversight of its safety management processes, including ensuring the pilots were accurately completing and updating the flight risk analysis, logging maintenance discrepancies, and ensuring the helicopter met Part 135 regulations before departure.","","35.37304","-115.86357","AIRBUS HELICOPTERS","EC 130","HELI","","","FALSE","1","NSCH","BUS","135","Destroyed","IMC","ORBIC AIR LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193770","2/26/2025 7:00:00 PM",
"GAA24WA086","ACC","193755","2024-02-06T18:57:00Z","Lago Ranco","","Chile","","CC-PHP","FALSE","None","","Fatal","1","0","0","","","-40.280502","-72.456631","ROBINSON","R44","HELI","","","FALSE","1","","PERS","NUSN","Unknown","","Transportes ICARO S.A.","N/A","FALSE","","",
"CEN24FA094","ACC","193686","2024-01-21T00:23:00Z","Hydro","Oklahoma","United States","","N295AE","FALSE","DirectorBrief","2025-03-19T04:00:00Z","Fatal","3","0","0","The helicopter’s inflight collision with cackling geese, resulting in an inflight breakup.","","35.54926","-98.551756","BELL","206","HELI","","","FALSE","1","NSCH","POSI","135","Destroyed","VMC","AIR EVAC EMS INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193686","3/19/2025 6:00:00 PM",
"GAA24WA069","ACC","193668","2024-01-11T16:00:00Z","Cannes Mandelieu","","France","","F-GJYB","FALSE","None","","Fatal","2","0","0","","","0","0","ROBINSON","R22","HELI","","","FALSE","1","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA24WA180","ACC","194344","2024-01-06T05:00:00Z","Revelstoke BC","","Canada","","N617TT","FALSE","None","","Fatal","1","0","0","","","0","0","BELL","206","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"ERA24FA075","ACC","193575","2023-12-27T13:59:00Z","Miami","Florida","United States","","N757TB","FALSE","DirectorBrief","2025-01-02T05:00:00Z","Fatal","1","0","0","Main rotor contact with the tail boom for unknown reasons, resulting in the separation of the tail boom.","","25.650548","-80.497849","HUGHES HELICOPTERS INC","369E","HELI","TMB","MIAMI EXEC","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193575","1/2/2025 6:00:00 PM",
"ERA24FA069","ACC","193546","2023-12-19T21:04:00Z","Hammonton","New Jersey","United States","","N606HD","FALSE","DirectorBrief","","Fatal","2","0","0","","","39.713917","-74.687567","AMERICAN EUROCOPTER CORP","AS350B2","HELI","","","FALSE","1","","OWRK","091","Destroyed","VMC","US HELICOPTERS INC","In work","FALSE","","",
"DCA24WA149","ACC","194049","2023-12-07T20:00:00Z","Tindal","","Australia","","VH-DLD","FALSE","None","","Fatal","1","0","0","","","-14.71419","132.618036","ROBINSON","R22","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA24WA052","ACC","193504","2023-12-06T16:30:00Z","Arau","","Guyana","","8R-AYA","FALSE","None","","Fatal","5","2","0","","","0","0","BELL","412","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"CEN24FA049","ACC","193451","2023-11-29T15:30:00Z","Sterling City","Texas","United States","","N745MB","FALSE","DirectorBrief","","Fatal","2","0","0","","","31.923796","-100.96924","MD HELICOPTERS INC","600","HELI","","","FALSE","1","","EXLD","133","Substantial","VMC","Brim Equipment Leasing, LLC","In work","FALSE","","",
"GAA24WA044","ACC","193453","2023-11-26T19:30:00Z","Ramallo","","Argentina","","LV-FQJ","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R66","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA24WA024","ACC","193327","2023-10-31T09:00:00Z","Cirque de Salazie","","Reunion","","F-HLOU","FALSE","None","","Fatal","4","0","0","","","-21.040146","55.542908","ROBINSON","R44","HELI","","","FALSE","1","","PERS","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA24WA023","ACC","193325","2023-10-26T04:00:00Z","Williamtown","","Australia","","VH-KFT","FALSE","None","","Fatal","2","0","0","","","0","0","ROBINSON","R66","HELI","","","FALSE","","","","UNK","Destroyed","","","N/A","FALSE","","",
"GAA24WA010","ACC","193250","2023-10-10T09:10:00Z","Bondeno","","Italy","","T7-HZM","FALSE","None","","Fatal","2","0","0","","","44.887858","11.446882","BELL","206","HELI","","","FALSE","1","","","NUSN","Destroyed","","","N/A","FALSE","","",
"ERA24FA003","ACC","193206","2023-10-08T19:32:00Z","Croydon","New Hampshire","United States","","N802JR","FALSE","DirectorBrief","2025-03-19T04:00:00Z","Fatal","1","0","0","The pilot’s loss of control during the initial climb in dark night conditions due to spatial disorientation, which resulted in a steep banking descent into trees and terrain. Contributing to the accident was the pilot’s lack of recent night flight experience, improper cockpit lighting settings, and his failure to use the helicopter’s stability augmentation system before and during the unusual attitude.","","43.450516","-72.132165","BELL HELICOPTER TEXTRON CANADA","407","HELI","","","FALSE","1","","POSI","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193206","12/5/2024 5:00:00 AM",
"CEN24LA006","ACC","193213","2023-10-08T15:52:00Z","Saint Peter","Minnesota","United States","","N557LJ","FALSE","DirectorBrief","2025-02-20T05:00:00Z","Fatal","1","0","0","The pilot's failure to maintain clearance from power lines during low-level maneuvering through a river valley.","","44.32156","-93.95059","GYRO TECHNIC","GT-VX2","HELI","MKT","MANKATO RGNL","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=193213","2/20/2025 7:00:00 PM",
"GAA23WA271","ACC","193189","2023-09-22T04:44:00Z","Garmen village","","Bulgaria","","LZRAD","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R44","HELI","Garm","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA23WA250","ACC","193033","2023-09-07T20:06:00Z","Um Al Quwain","","United Arab Emirates","","A6-ALD","FALSE","None","","Fatal","2","0","0","","","25.684583","55.362972","BELL","212","HELI","","","FALSE","2","","INST","NUSC","Substantial","","Aerogulf Services Company LLC.","N/A","FALSE","","",
"ERA23FA357","ACC","192977","2023-08-31T15:25:00Z","Kingston","New Jersey","United States","","N2356M","FALSE","DirectorBrief","2025-02-20T05:00:00Z","Fatal","1","0","0","A loss of control, which resulted in the main rotor blade severing the tail boom, for reasons that could not be determined.","","40.372604","-74.619764","ROBINSON HELICOPTER","R22 BETA","HELI","39N","PRINCETON","FALSE","1","","INST","091","Substantial","VMC","N112VG LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192977","2/20/2025 7:00:00 PM",
"ERA23FA352","ACC","192950","2023-08-28T08:44:00Z","Pompano Beach","Florida","United States","","N109BC","FALSE","DirectorBrief","","Fatal","2","1","1","","","26.240252","-80.122249","EUROCOPTER","EC135","HELI","PMP","Pompano Beach Airpark","FALSE","2","NSCH","","135","Destroyed","VMC","BROWARD COUNTY SHERIFFS OFFICE","In work","FALSE","","",
"ERA23LA332","ACC","192850","2023-08-12T09:50:00Z","Mifflinville","Pennsylvania","United States","","N1503L","FALSE","DirectorBrief","","Fatal","1","0","0","","","41.004602","-76.288061","BELL","47G-5","HELI","","","FALSE","1","","AAPL","137","Destroyed","VMC","TRIPLE F FLYING INC","In work","FALSE","","",
"WPR23FA302","ACC","192807","2023-08-06T18:44:00Z","Cabazon","California","United States","","N555AS, N4037S","FALSE","DirectorBrief","","Fatal","3","0","0","","","33.9143","-116.8067","BELL, SIKORSKY","407, S-64E","HELI,HELI","BNG","BANNING MUNI","FALSE,FALSE","1,2","","PUBS,PUBS","PUBU,PUBU","Substantial,Minor","VMC","Air Shasta Rotor & Wing Inc.,SILLER HELICOPTERS INC","In work","FALSE","","",
"CEN23FA340","ACC","192758","2023-07-31T13:10:00Z","Oakdale","Illinois","United States","","N567VF","FALSE","DirectorBrief","","Fatal","1","0","0","","","38.25428","-89.43689","RICHARDS HEAVYLIFT HELO INC","UH-1H","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","KASH HELICOPTER SERVICES LLC","In work","FALSE","","",
"CEN23LA342","ACC","192774","2023-07-30T08:18:00Z","Denison","Iowa","United States","","N231RL","FALSE","DirectorBrief","2023-08-31T04:00:00Z","Fatal","1","0","0","The pilot’s inflight distraction, which resulted in his failure to see and avoid wires.","","42.034436","-95.310324","BELL","206B","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","NOR WES INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192774","8/31/2023 5:00:00 PM",
"CEN23FA333","ACC","192738","2023-07-29T12:27:00Z","Oshkosh","Wisconsin","United States","","N193AZ, N221EL","FALSE","DirectorBrief","2024-05-16T04:00:00Z","Fatal","2","2","0","The failure of the gyroplane pilot to see and avoid the helicopter while maneuvering in the traffic pattern. Contributing to the accident was the gyroplane pilot’s performance of a prohibited maneuver in the traffic pattern.","","43.963719","-88.559711","ROTORWAY, ELA ECLIPSE","162F, 10","HELI,HELI","OSH","WITTMAN RGNL","TRUE,TRUE","1,1","","PERS,PERS","091,091","Destroyed,Destroyed","VMC",",","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192738","5/16/2024 5:00:00 PM",
"ERA23FA317","ACC","192737","2023-07-29T12:06:00Z","Springfield","Ohio","United States","","N652HA","FALSE","DirectorBrief","","Fatal","1","0","0","","","39.887823","-83.746443","BELL","206-L4","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","","In work","FALSE","","",
"ANC23FA056","ACC","192675","2023-07-20T11:05:00Z","Wainwright","Alaska","United States","","N311MH","FALSE","DirectorBrief","","Fatal","4","0","0","","","70.653972","-158.55984","BELL","206-L4","HELI","","","FALSE","1","NSCH","BUS","135","Destroyed","VMC","MARITIME HELICOPTERS INC","In work","FALSE","","",
"GAA23WA215","ACC","192696","2023-07-17T15:50:00Z","Swakopmund","","Namibia","","ZS-HLG","FALSE","None","","Fatal","4","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA23WA193","ACC","192550","2023-07-04T14:45:00Z","Sainte-Marthe","","France","","F-GKTR","FALSE","None","","Fatal","1","0","0","","","0","0","BELL","47","HELI","","","FALSE","","","","NUSC","Destroyed","","","N/A","FALSE","","",
"GAA23WA180","ACC","192482","2023-06-27T09:30:00Z","Buchanan","","Australia","","vh-PSDC","FALSE","None","","Fatal","1","0","0","","","-17.269925","129.882163","ROBINSON","R22","HELI","","","FALSE","","","OWRK","NUSN","Substantial","","","N/A","FALSE","","",
"GAA23WA173","ACC","192446","2023-06-21T12:30:00Z","GOM","","Mexico","","XA-EHI","FALSE","None","","Fatal","2","0","0","","","0","0","BELL","412","HELI","","","FALSE","","","","NUSC","Substantial","","","N/A","FALSE","","",
"CEN23FA183","INC","174530","2023-05-14T00:00:00Z","Brady","Texas","United States","","N40506","FALSE","DirectorBrief","2025-04-24T04:00:00Z","Fatal","1","0","0","The non-certificated pilot’s failure to ensure the collective friction control was adequately engaged during an on-ground engine run, which resulted in the helicopter inadvertently becoming airborne. Contributing to the crash were the pilot’s various physical and mental conditions and his use of potentially impairing medications.","","31.225932","-99.358637","ROBINSON","R22 Beta","HELI","PVT","PVT","FALSE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=174530","4/23/2025 6:00:00 PM",
"GAA23WA143","ACC","109770","2023-05-02T06:35:00Z","Shanxi","","China","","B-70YA","FALSE","None","","Fatal","3","0","0","","","0","0","ROBINSON","R-44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA23WA141","ACC","109768","2023-04-04T11:12:00Z","Middlemount","","Australia","","VH-WLH","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"ERA23FA175","ACC","106990","2023-04-02T17:23:00Z","Chelsea","Alabama","United States","","N231SH","FALSE","DirectorBrief","","Fatal","2","1","0","","","33.37817","-86.628454","AIRBUS HELICOPTERS","EC 130 T2","HELI","","","FALSE","1","NSCH","","135","Substantial","VMC","AIR METHODS CORP","In work","FALSE","https://data.ntsb.gov/Docket?ProjectID=106990","2/21/2025 8:00:00 PM",
"CEN23FA142","ACC","106956","2023-03-26T02:38:00Z","Port Allen","Louisiana","United States","","N441PD","FALSE","DirectorBrief","2025-01-29T05:00:00Z","Fatal","2","0","0","The pilot’s decision to continue the visual flight rules flight into deteriorating weather conditions, which resulted in spatial disorientation and the loss of aircraft control.","","30.511753","-91.324385","ROBINSON HELICOPTER COMPANY","R44 II","HELI","","","FALSE","1","","AOBV","091","Destroyed","IMC","BATON ROUGE POLICE DEPARTMENT","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106956","1/29/2025 6:00:00 PM",
"ANC23FA031","ACC","106951","2023-03-24T12:17:00Z","Nuevo","California","United States","","N14Z","FALSE","DirectorBrief","2025-02-05T05:00:00Z","Fatal","2","0","0","The pilot’s decision to maneuver in a steep bank at a low altitude, which resulted in his failure to maintain clearance with terrain.","","33.789279","-117.09542","BELL HELICOPTER TEXTRON","407","HELI","","","FALSE","1","","PERS","091","Destroyed","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106951","2/5/2025 6:00:00 PM",
"GAA23WA104","ACC","106944","2023-03-17T17:30:00Z","Sao Paulo","","Brazil","","PR-PGC","FALSE","None","","Fatal","4","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","UNK","Substantial","","","N/A","FALSE","","",
"GAA23WA093","ACC","106874","2023-03-12T17:37:00Z","Boro Area, Okavango Delta","","Botswana","","A2-HEX","FALSE","None","","Fatal","1","0","0","","","0","0","ROBINSON","44","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"CEN23FA125","ACC","106842","2023-03-06T22:57:00Z","Port O'Connor","Texas","United States","","N494SH","FALSE","DirectorBrief","2025-04-02T04:00:00Z","Fatal","2","0","0","The pilot’s initiation of the visual flight into instrument meteorological conditions, which resulted in spatial disorientation and a subsequent loss of helicopter control. Contributing to the accident was the pilot’s flicker vertigo during the flight.","","28.415122","-96.48012","ROBINSON HELICOPTER COMPANY","R44","HELI","","","FALSE","1","","PERS","091","Destroyed","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106842","4/2/2025 6:00:00 PM",
"GAA23WA118","ACC","107011","2023-03-01T05:00:00Z","Mangsee Island","","Philippines","","N45VX","FALSE","None","","Fatal","4","0","0","","","7.510879","117.312236","SUD AVIATION/EUROCOPTER","ALOUETTE II SE313B","HELI","","","FALSE","1","","","UNK","Unknown","","GOSPEL MINISTRIES INTERNATIONAL INC","N/A","FALSE","","",
"GAA23WA082","ACC","106803","2023-02-17T11:19:00Z","Xian","","China","","B-7683","FALSE","None","","Fatal","1","1","0","","","0","0","ROBINSON","44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA23WA119","ACC","107017","2023-02-17T05:00:00Z","Checkhov","","Russia","","RA-04340","FALSE","None","","Fatal","2","1","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
"GAA23WA072","ACC","106740","2023-02-09T19:30:00Z","Vargem Alta","","Brazil","","PR-PLF","FALSE","None","","Fatal","2","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","","NUSN","Substantial","","","N/A","FALSE","","",
"GAA23WA056","ACC","106578","2023-01-10T13:30:00Z","Lesna Jania","","Poland","","SP HEYO","FALSE","None","","Fatal","1","0","0","","","53.7218","18.6044","Aero Eli Servizi","YOYO","HELI","","","FALSE","","","","NUSN","Destroyed","","","N/A","FALSE","","",
